2023-11-24 14:50:06
SET: -nan
SET: 373856.00
SET: 310752.00
SET: 273344.00
SET: 249456.00
SET: 234131.20
SET: 224016.00
SET: 215145.14
SET: 215072.00
SET: 215996.44
SET: 216518.41
SET: 216084.36
SET: 215749.33
SET: 215458.47
SET: 215750.86
SET: 215997.86
SET: 215882.00
SET: 215920.94
SET: 216368.00
SET: 215922.53
SET: 215590.41
SET: 213156.58
SET: 208404.36
SET: 204069.56
SET: 200268.00
SET: 196774.41
SET: 193693.53
SET: 191437.03
SET: 193196.58
SET: 194775.17
SET: 196020.27
SET: 196830.97
SET: 197673.00
SET: 198378.67
SET: 198880.94
SET: 199368.23
SET: 199838.22
SET: 199053.84
SET: 196966.73
SET: 195798.97
SET: 195516.00
SET: 194660.69
SET: 193930.67
SET: 193175.06
SET: 192288.00
SET: 191796.62
SET: 191949.91
SET: 192204.94
SET: 192416.00
SET: 192468.25
SET: 192499.84
SET: 192576.00
SET: 192638.16
SET: 192863.39
SET: 193017.48
SET: 193370.19
SET: 193712.58
SET: 194100.20
SET: 194304.00
SET: 194389.69
SET: 194506.67
SET: 194719.47
SET: 194870.19
SET: 194955.17
SET: 195163.50
SET: 195326.52
SET: 195451.64
SET: 195511.88
SET: 195607.53
SET: 195838.61
SET: 196233.59
SET: 196541.30
SET: 196678.67
SET: 196808.33
SET: 196837.62
SET: 196836.27
SET: 196934.31
SET: 197080.52
SET: 197324.72
SET: 197565.97
SET: 197573.59
SET: 197334.12
SET: 197088.39
SET: 196831.23
SET: 196568.38
SET: 196184.84
SET: 195693.02
SET: 195546.11
SET: 195721.45
SET: 195422.20
SET: 194637.86
SET: 193854.23
SET: 193065.39
SET: 192291.78
SET: 191559.16
SET: 190867.53
SET: 190184.33
SET: 190038.77
SET: 190389.88
SET: 190764.92
SET: 191101.77
SET: 191385.66
SET: 191643.30
SET: 191877.59
SET: 192112.92
SET: 192316.95
SET: 192459.47
SET: 192490.47
SET: 192491.56
SET: 192447.41
SET: 192409.31
SET: 192453.48
SET: 192503.72
SET: 192660.67
SET: 192790.17
SET: 192824.48
SET: 192798.06
SET: 192676.66
SET: 192101.16
SET: 191549.31
SET: 190984.27
SET: 190556.03
SET: 190166.56
SET: 189756.36
SET: 189351.73
SET: 189079.05
SET: 188797.20
SET: 188579.28
SET: 188358.75
SET: 188130.23
SET: 188170.58
SET: 188521.28
SET: 188850.42
SET: 188978.28
SET: 189002.98
SET: 189013.81
