2023-11-24 14:54:02
SET: -nan
SET: 222176.00
SET: 220944.00
SET: 217237.33
SET: 214912.00
SET: 213881.59
SET: 212405.33
SET: 212091.42
SET: 212504.00
SET: 212106.67
SET: 211712.00
SET: 210981.81
SET: 210522.67
SET: 210486.16
SET: 210205.72
SET: 209659.73
SET: 209106.00
SET: 208779.30
SET: 208442.67
SET: 209177.27
SET: 210065.59
SET: 209217.53
SET: 206116.36
SET: 204143.30
SET: 201824.00
SET: 200070.41
SET: 198183.39
SET: 197392.59
SET: 196214.86
SET: 194950.62
SET: 194036.27
SET: 193128.27
SET: 191700.00
SET: 190170.19
SET: 188738.83
SET: 188533.03
SET: 189884.44
SET: 191150.70
SET: 192112.00
SET: 192576.83
SET: 192983.89
SET: 194005.66
SET: 194988.66
SET: 195923.72
SET: 195930.55
SET: 196303.25
SET: 196853.14
SET: 197325.16
SET: 197580.19
SET: 198114.77
SET: 198597.22
SET: 198587.08
SET: 198804.39
SET: 199317.78
SET: 199622.55
SET: 199890.03
SET: 200521.67
SET: 201226.02
SET: 201779.19
SET: 201817.91
SET: 202027.06
SET: 202292.83
SET: 202687.31
SET: 203030.66
SET: 203247.30
SET: 203306.14
SET: 203346.23
SET: 203357.42
SET: 203549.44
SET: 203666.81
SET: 203762.08
SET: 203951.56
SET: 204177.55
SET: 204496.86
SET: 204793.69
SET: 205072.80
SET: 205335.72
SET: 205601.38
SET: 205837.66
SET: 205917.28
SET: 206050.11
SET: 206261.81
SET: 206438.33
SET: 206582.44
SET: 206731.50
SET: 206819.45
SET: 206858.48
SET: 206703.52
SET: 206350.33
SET: 206000.00
SET: 205633.27
SET: 205094.92
SET: 204379.44
SET: 203711.67
SET: 202960.08
SET: 202189.62
SET: 201668.19
SET: 201100.44
SET: 200742.14
SET: 200326.75
SET: 199991.36
SET: 199530.48
SET: 199089.31
SET: 198668.53
SET: 198234.91
SET: 197822.64
SET: 197398.23
SET: 197187.50
SET: 196920.22
SET: 196714.22
SET: 196789.47
SET: 196927.34
SET: 197008.20
SET: 197132.38
SET: 197146.02
SET: 197261.81
SET: 197402.94
SET: 197508.81
SET: 197674.73
SET: 197781.39
SET: 197887.06
SET: 198010.58
SET: 198111.33
SET: 198235.69
SET: 198363.72
SET: 198480.22
SET: 198528.34
SET: 198547.23
SET: 198518.59
SET: 198421.19
SET: 198334.88
SET: 198397.91
SET: 198505.31
SET: 198510.05
SET: 198516.16
SET: 198526.44
SET: 198575.62
SET: 198676.41
SET: 198747.20
SET: 198782.69
SET: 198871.16
SET: 198956.55
SET: 199051.11
SET: 199140.98
SET: 199242.72
SET: 199293.62
SET: 199145.27
SET: 198996.09
SET: 198706.89
SET: 198417.92
SET: 198153.28
SET: 197882.39
SET: 197600.77
SET: 197417.77
SET: 197315.27
SET: 197217.39
SET: 197145.38
SET: 197055.34
SET: 197011.39
SET: 196934.00
SET: 196905.95
SET: 196969.30
SET: 197017.44
SET: 197163.53
SET: 197351.55
SET: 197413.75
SET: 197451.89
SET: 197490.33
SET: 197536.50
SET: 197637.61
SET: 197736.58
SET: 197837.77
SET: 197897.03
SET: 197945.44
SET: 198010.03
SET: 198104.95
SET: 198179.36
SET: 198256.00
SET: 198282.69
SET: 198269.05
SET: 198183.91
SET: 197874.66
SET: 197504.11
SET: 197232.73
SET: 196958.58
SET: 196680.11
SET: 196402.56
SET: 196104.22
SET: 195812.95
SET: 195546.61
SET: 195266.22
SET: 194914.56
SET: 194562.39
SET: 194200.95
SET: 193784.02
SET: 193583.36
SET: 193343.45
SET: 193093.33
SET: 192844.09
SET: 192645.28
SET: 192443.98
SET: 192229.09
SET: 192032.48
SET: 191804.39
SET: 191576.97
SET: 191396.70
SET: 191218.20
SET: 191041.44
SET: 190836.81
SET: 190609.67
SET: 190387.88
SET: 190221.56
SET: 190156.61
SET: 189984.69
SET: 189761.73
SET: 189489.22
SET: 189204.70
SET: 188899.06
SET: 188616.64
SET: 188354.47
SET: 188062.55
SET: 187759.80
SET: 187472.17
SET: 187190.84
SET: 186895.05
SET: 186619.64
SET: 186357.30
SET: 186367.22
SET: 186526.38
SET: 186689.17
SET: 186848.19
SET: 187001.80
SET: 187146.66
SET: 187158.69
SET: 187301.91
SET: 187204.11
SET: 187012.92
SET: 186822.80
SET: 186568.25
SET: 186293.22
SET: 186006.88
SET: 185690.91
SET: 185435.86
SET: 185405.98
SET: 185401.80
SET: 185402.86
SET: 185362.83
SET: 185372.72
SET: 185371.83
SET: 185353.47
SET: 185303.12
SET: 185278.44
SET: 185295.97
SET: 185331.19
SET: 185354.05
SET: 185364.80
SET: 185443.08
SET: 185551.64
SET: 185656.64
SET: 185690.39
SET: 185732.50
SET: 185755.17
SET: 185714.77
SET: 185725.52
SET: 185726.86
SET: 185749.56
SET: 185772.22
SET: 185784.77
SET: 185807.59
SET: 185788.50
SET: 185771.80
SET: 185758.06
SET: 185643.25
SET: 185511.58
SET: 185402.70
SET: 185473.59
SET: 185539.20
SET: 185584.70
SET: 185621.94
SET: 185704.09
SET: 185779.27
SET: 185883.73
SET: 185998.25
SET: 186094.30
SET: 186185.30
SET: 186218.50
SET: 186144.39
SET: 186073.36
SET: 185932.17
SET: 185780.11
SET: 185635.59
SET: 185591.72
SET: 185608.94
SET: 185626.50
SET: 185573.41
SET: 185481.94
SET: 185395.09
SET: 185243.02
SET: 185089.38
SET: 184913.53
SET: 184744.62
SET: 184621.91
SET: 184472.78
SET: 184328.66
SET: 184179.36
SET: 184028.86
SET: 183880.06
SET: 183717.12
SET: 183545.89
SET: 183428.67
SET: 183291.06
SET: 183125.84
SET: 182953.36
SET: 182786.69
SET: 182685.69
SET: 182622.52
SET: 182535.73
SET: 182397.72
SET: 182253.33
SET: 182106.12
SET: 182003.75
SET: 181939.00
SET: 181866.59
SET: 181810.48
SET: 181746.62
SET: 181688.28
SET: 181630.59
SET: 181566.59
SET: 181571.67
SET: 181598.98
SET: 181623.23
SET: 181651.78
SET: 181680.55
SET: 181702.02
SET: 181725.38
SET: 181755.09
SET: 181811.95
SET: 181833.17
SET: 181856.81
SET: 181738.25
SET: 181556.02
SET: 181346.59
SET: 181136.62
SET: 180970.89
SET: 180829.66
SET: 180684.33
SET: 180499.50
SET: 180290.20
SET: 180089.28
SET: 179903.17
SET: 179763.58
SET: 179624.94
SET: 179484.38
SET: 179329.28
SET: 179178.78
SET: 179147.28
SET: 179155.17
SET: 179185.77
SET: 179181.61
SET: 179172.30
SET: 179189.44
SET: 179217.12
SET: 179238.73
SET: 179216.59
SET: 179180.59
SET: 179153.38
SET: 179143.19
SET: 179159.47
SET: 179212.80
SET: 179208.44
SET: 179264.53
SET: 179523.55
SET: 179750.72
SET: 180024.62
SET: 180322.39
SET: 180609.61
SET: 180942.62
SET: 181326.58
SET: 181684.20
SET: 182002.70
SET: 182332.75
SET: 182695.92
SET: 183052.67
SET: 183166.69
SET: 183249.77
SET: 183867.44
SET: 184615.20
SET: 185050.86
SET: 185361.12
SET: 185666.11
SET: 185969.52
SET: 186294.78
SET: 186518.72
SET: 186588.61
SET: 186744.64
SET: 186952.05
SET: 187026.12
SET: 187146.02
SET: 187348.03
SET: 187605.75
SET: 187942.72
SET: 188307.06
SET: 188687.11
SET: 189081.39
SET: 189446.70
SET: 189833.61
SET: 190168.08
SET: 190563.89
SET: 190988.97
SET: 191404.61
SET: 191800.75
SET: 192201.66
SET: 192625.70
SET: 193031.42
====== SET ======
  20000008 requests completed in 103.43 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.00% <= 0.2 milliseconds
0.61% <= 0.3 milliseconds
2.41% <= 0.4 milliseconds
10.47% <= 0.5 milliseconds
33.08% <= 0.6 milliseconds
63.74% <= 0.7 milliseconds
76.57% <= 0.8 milliseconds
87.02% <= 0.9 milliseconds
93.93% <= 1.0 milliseconds
97.45% <= 1.1 milliseconds
98.78% <= 1.2 milliseconds
99.21% <= 1.3 milliseconds
99.35% <= 1.4 milliseconds
99.46% <= 1.5 milliseconds
99.54% <= 1.6 milliseconds
99.59% <= 1.7 milliseconds
99.63% <= 1.8 milliseconds
99.65% <= 1.9 milliseconds
99.68% <= 2 milliseconds
99.84% <= 3 milliseconds
99.92% <= 4 milliseconds
99.95% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 9 milliseconds
193365.70 requests per second


