2023-11-24 14:54:02
SET: -nan
SET: 232160.00
SET: 225984.00
SET: 222730.67
SET: 221984.00
SET: 221702.41
SET: 221130.67
SET: 219949.72
SET: 220436.00
SET: 220128.00
SET: 220134.41
SET: 219991.27
SET: 219725.33
SET: 219827.69
SET: 220818.28
SET: 220738.14
SET: 220230.00
SET: 219680.00
SET: 219196.44
SET: 219097.27
SET: 219708.80
SET: 220774.09
SET: 221707.64
SET: 219522.78
SET: 219737.33
SET: 219991.05
SET: 220267.08
SET: 220353.19
SET: 220329.14
SET: 220156.69
SET: 220188.80
SET: 220343.73
SET: 220545.00
SET: 220762.19
SET: 220778.36
SET: 220929.83
SET: 221160.89
SET: 221174.48
SET: 220848.84
SET: 220540.72
SET: 220160.00
SET: 219704.97
SET: 219430.09
SET: 219322.05
SET: 219216.00
SET: 219175.83
SET: 219103.30
SET: 219026.39
SET: 219054.00
SET: 219252.25
SET: 219470.08
SET: 219541.33
SET: 219461.53
SET: 219247.70
SET: 219225.48
SET: 219323.92
SET: 219345.14
SET: 219258.39
SET: 219001.38
SET: 218826.31
SET: 218785.06
SET: 218782.95
SET: 218823.73
SET: 218750.47
SET: 218519.00
SET: 218215.88
SET: 217945.70
SET: 217741.38
SET: 217718.59
SET: 217686.27
SET: 217649.83
SET: 217623.44
SET: 217598.67
SET: 217693.38
SET: 217520.00
SET: 216647.69
SET: 215743.16
SET: 214854.23
SET: 213888.83
SET: 213124.05
SET: 212377.20
SET: 212275.36
SET: 212424.97
SET: 212574.08
SET: 212754.28
SET: 212924.98
SET: 212970.80
SET: 212959.62
SET: 213001.81
SET: 212944.91
SET: 212866.84
SET: 212862.94
SET: 212890.09
SET: 212863.66
SET: 212786.05
SET: 212726.23
SET: 212708.33
SET: 212710.27
SET: 212730.12
SET: 212689.12
SET: 212725.12
SET: 212474.61
SET: 211540.58
SET: 210602.47
SET: 209659.02
SET: 208665.89
SET: 207701.75
SET: 206795.11
SET: 205982.00
SET: 205177.36
SET: 204416.14
SET: 203704.38
SET: 203083.03
SET: 202650.81
SET: 202016.78
SET: 201410.45
SET: 200919.42
SET: 200166.28
SET: 199539.55
SET: 198963.97
SET: 198440.36
SET: 197991.27
SET: 197621.39
SET: 197121.48
SET: 196746.27
SET: 196384.22
SET: 196030.22
SET: 195702.94
SET: 195559.78
SET: 195203.78
SET: 194897.55
SET: 194618.23
SET: 194904.31
SET: 195234.70
SET: 195511.20
SET: 195755.88
SET: 196002.59
SET: 196349.42
SET: 196669.88
SET: 197009.91
SET: 197326.33
SET: 197618.98
SET: 197903.67
SET: 198165.59
SET: 198335.66
SET: 198577.52
SET: 198729.06
SET: 198870.48
SET: 199101.45
SET: 199331.48
SET: 199632.88
SET: 199985.39
SET: 200290.52
SET: 200620.73
SET: 200932.11
SET: 201154.02
SET: 201356.45
SET: 201439.53
SET: 201526.81
SET: 201599.33
SET: 201626.53
SET: 201602.11
SET: 201584.12
SET: 201556.16
SET: 201574.17
SET: 201595.28
SET: 201664.12
SET: 201728.31
SET: 201807.92
SET: 201924.64
SET: 202076.33
SET: 202220.25
SET: 202360.45
SET: 202496.81
SET: 202635.84
SET: 202785.70
SET: 202882.06
SET: 202988.16
SET: 203101.53
SET: 203134.08
SET: 202950.98
SET: 202832.14
SET: 202684.19
SET: 202532.97
SET: 202370.69
SET: 202276.75
SET: 202208.25
SET: 202134.16
SET: 202002.98
SET: 201902.14
SET: 201765.16
SET: 201623.73
SET: 201536.61
SET: 201465.31
SET: 201406.30
SET: 201396.95
SET: 201180.53
SET: 200860.23
SET: 200620.09
SET: 200432.55
SET: 200347.19
SET: 200093.94
SET: 199759.53
SET: 199477.31
SET: 199265.28
SET: 199044.56
SET: 198863.73
SET: 198714.17
SET: 198564.06
SET: 198385.98
SET: 198246.47
SET: 198243.25
SET: 198291.09
SET: 198356.50
SET: 198413.67
SET: 198507.67
SET: 198593.09
SET: 198673.02
SET: 198678.36
SET: 198639.83
SET: 198631.19
SET: 198689.64
SET: 198719.77
SET: 198791.22
SET: 198832.77
SET: 198851.75
SET: 198870.56
SET: 198924.45
SET: 198965.23
SET: 199020.89
SET: 199070.50
SET: 199131.88
SET: 199181.69
SET: 199235.59
SET: 199289.47
SET: 199302.97
SET: 199275.42
SET: 199222.03
SET: 199193.05
SET: 199164.16
SET: 199141.50
SET: 199095.53
SET: 198996.53
SET: 198806.44
SET: 198715.72
SET: 198668.84
SET: 198608.56
SET: 198576.38
SET: 198536.95
SET: 198506.47
SET: 198449.08
SET: 198414.84
SET: 198375.30
SET: 198408.53
SET: 198356.97
SET: 198153.97
SET: 197891.56
SET: 197676.78
SET: 197616.45
SET: 197627.50
SET: 197472.58
SET: 197280.83
SET: 197058.91
SET: 196811.66
SET: 196537.92
SET: 196211.20
SET: 195903.77
SET: 195599.23
SET: 195317.47
SET: 195037.02
SET: 194754.09
SET: 194475.31
SET: 194196.70
SET: 193949.08
SET: 193724.17
SET: 193570.94
SET: 193515.52
SET: 193455.52
SET: 193334.95
SET: 193210.55
SET: 193103.03
SET: 192908.48
SET: 192702.27
SET: 192543.30
SET: 192395.36
SET: 192202.33
SET: 192042.08
SET: 191905.12
SET: 191745.36
SET: 191548.70
SET: 191356.84
SET: 191241.94
SET: 191296.92
SET: 191351.73
SET: 191388.45
SET: 191478.81
SET: 191642.30
SET: 191822.98
SET: 191975.31
SET: 192014.23
SET: 192071.89
SET: 192085.38
SET: 192081.48
SET: 192075.72
SET: 192154.00
SET: 192222.11
SET: 192232.25
SET: 192204.41
SET: 192190.02
SET: 192170.88
SET: 192152.05
SET: 192161.75
SET: 192179.08
SET: 192173.19
SET: 192180.08
SET: 192231.00
SET: 192291.33
SET: 192349.56
SET: 192403.20
SET: 192463.12
SET: 192522.88
SET: 192569.39
SET: 192610.66
SET: 192649.28
SET: 192604.42
SET: 192501.34
SET: 192385.84
SET: 192270.38
SET: 192234.14
SET: 192137.23
SET: 192109.00
SET: 192059.17
SET: 192016.88
SET: 191985.02
SET: 191950.86
SET: 191922.16
SET: 191922.39
SET: 191990.12
SET: 192035.70
SET: 192075.80
SET: 192008.75
SET: 191953.00
SET: 191935.64
SET: 191925.47
SET: 191783.45
SET: 191604.89
SET: 191432.27
SET: 191261.09
SET: 191084.38
SET: 190911.05
SET: 190789.19
SET: 190667.92
SET: 190539.61
SET: 190380.77
SET: 190229.23
SET: 190137.52
SET: 190058.34
SET: 189986.69
SET: 189914.91
SET: 189871.52
SET: 189770.23
SET: 189582.20
SET: 189407.41
SET: 189266.20
SET: 189132.00
SET: 188979.02
SET: 188968.48
SET: 189134.98
SET: 189344.06
SET: 189595.72
SET: 189862.89
SET: 190223.48
SET: 190444.16
SET: 190683.11
SET: 190933.64
SET: 191186.91
SET: 191461.66
SET: 191756.41
SET: 192052.91
SET: 192327.48
SET: 192597.08
SET: 192860.31
SET: 193131.05
SET: 193437.38
SET: 193781.11
SET: 194123.64
SET: 194494.16
SET: 194856.72
SET: 195100.14
SET: 195317.97
SET: 195544.69
SET: 195781.12
SET: 196029.42
SET: 196276.12
SET: 196523.36
SET: 196744.00
SET: 196975.16
SET: 197274.22
SET: 197615.20
SET: 197978.28
SET: 198377.78
SET: 198735.88
====== SET ======
  20000032 requests completed in 100.47 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.2 milliseconds
0.00% <= 0.3 milliseconds
2.76% <= 0.4 milliseconds
14.22% <= 0.5 milliseconds
43.68% <= 0.6 milliseconds
72.73% <= 0.7 milliseconds
82.44% <= 0.8 milliseconds
89.77% <= 0.9 milliseconds
94.56% <= 1.0 milliseconds
97.45% <= 1.1 milliseconds
98.94% <= 1.2 milliseconds
99.31% <= 1.3 milliseconds
99.44% <= 1.4 milliseconds
99.54% <= 1.5 milliseconds
99.61% <= 1.6 milliseconds
99.65% <= 1.7 milliseconds
99.68% <= 1.8 milliseconds
99.70% <= 1.9 milliseconds
99.72% <= 2 milliseconds
99.91% <= 3 milliseconds
99.97% <= 4 milliseconds
99.98% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 9 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 13 milliseconds
199068.67 requests per second


